Filename,Frame,Time (mins),Image row,Image col,Date,Location,Site #,Transect #,Latitude,Longitude,Rugosity,Depth,Collector,Fishing status,Spare,Spare,FOV,Relief,,Radius %
Z_10.jpg,Z_10,,2021,2878,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,68.4
Z_10.jpg,Z_10,,139,3261,,,Z_10,Z_10,,,,,,,,,Open,,,83.4
Z_10.jpg,Z_10,,408,3261,,,Z_10,Z_10,,,,,,,,,Open,,,76.4
Z_10.jpg,Z_10,,677,3261,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,71.3
Z_10.jpg,Z_10,,946,3261,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,68.6
Z_10.jpg,Z_10,,1214,3261,,,Z_10,Z_10,,,,,,,,,Open,,,68.6
Z_10.jpg,Z_10,,1483,3261,,,Z_10,Z_10,,,,,,,,,Open,,,71.3
Z_10.jpg,Z_10,,1752,3261,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,76.4
Z_10.jpg,Z_10,,2021,3261,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,83.4
Z_10.jpg,Z_10,,139,3644,,,Z_10,Z_10,,,,,,,,,Open,,,100
Z_10.jpg,Z_10,,408,3644,,,Z_10,Z_10,,,,,,,,,Open,,,94.2
Z_10.jpg,Z_10,,677,3644,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,90.1
Z_10.jpg,Z_10,,946,3644,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,88
Z_10.jpg,Z_10,,1214,3644,,,Z_10,Z_10,,,,,,,,,Open,,,88
Z_10.jpg,Z_10,,1483,3644,,,Z_10,Z_10,,,,,,,,,Open,,,90.1
Z_10.jpg,Z_10,,1752,3644,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,94.2
Z_10.jpg,Z_10,,2021,3644,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,100
Z_100.jpg,Z_100,,139,197,,,Z_100,Z_100,,,,,,,,,Open,,,100
Z_100.jpg,Z_100,,408,197,,,Z_100,Z_100,,,,,,,,,Open,,,94.2
Z_100.jpg,Z_100,,677,197,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,90.1
Z_100.jpg,Z_100,,946,197,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,88
Z_100.jpg,Z_100,,1214,197,,,Z_100,Z_100,,,,,,,,,Open,,,88
Z_100.jpg,Z_100,,1483,197,,,Z_100,Z_100,,,,,,,,,Open,,,90.1
Z_100.jpg,Z_100,,1752,197,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,94.2
Z_100.jpg,Z_100,,2021,197,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,100
Z_100.jpg,Z_100,,139,580,,,Z_100,Z_100,,,,,,,,,Open,,,83.4
Z_100.jpg,Z_100,,408,580,,,Z_100,Z_100,,,,,,,,,Open,,,76.4
Z_100.jpg,Z_100,,677,580,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,71.3
Z_100.jpg,Z_100,,946,580,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,68.6
Z_100.jpg,Z_100,,1214,580,,,Z_100,Z_100,,,,,,,,,Open,,,68.6
Z_100.jpg,Z_100,,1483,580,,,Z_100,Z_100,,,,,,,,,Open,,,71.3
Z_100.jpg,Z_100,,1752,580,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,76.4
Z_100.jpg,Z_100,,2021,580,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,83.4
Z_100.jpg,Z_100,,139,963,,,Z_100,Z_100,,,,,,,,,Open,,,68.4
Z_100.jpg,Z_100,,408,963,,,Z_100,Z_100,,,,,,,,,Open,,,59.6
Z_100.jpg,Z_100,,677,963,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,52.9
Z_100.jpg,Z_100,,946,963,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,49.2
Z_100.jpg,Z_100,,1214,963,,,Z_100,Z_100,,,,,,,,,Open,,,49.2
